AT,V,AP,RH,PE
2.234306252240751,3.732178378509084,6.919525734581052,4.510969390589264,6.176864693511534
3.204371138665319,4.085808231199814,6.920079028670969,4.320151230955794,6.101999154039538
3.4255647381104497,4.05871738457895,6.915872247084084,3.7591048990034333,6.086229123552405
2.9992261628082466,3.925728652484258,6.915941678785636,4.354012888218683,6.118295416280278
2.5494451709255714,3.729541435832826,6.925722890332587,4.58700621536042,6.142961709469677
2.706048198431537,3.6928714753834737,6.924661559048496,4.449685283147696,6.156894236231718
3.139832617527748,4.280685807012206,6.916913216766902,4.3357208817973705,6.094359525826016
2.738902664584975,3.7556030861568446,6.930475215418385,4.37462430490712,6.142037405587356
3.4735180432417816,4.25575454373095,6.918942468372702,3.6331024386449378,6.0632501818653495
2.050270164379556,3.6681664125163946,6.926380743105302,4.408303357752101,6.1847878620097125
3.3769046890931107,4.2437698090420275,6.915088326348929,4.2612704335380815,6.0783071598577285
3.177637076851603,3.86974161317154,6.92279166380825,3.9203879217597737,6.114588848330118
3.4111477125153233,4.2632430986839145,6.919634441512215,4.130837198581126,6.0573693219957
2.2126603854660587,3.6503984672956546,6.917745213011485,4.398514952178684,6.1772384709521875
2.8859174075467844,3.8199077165203406,6.925929129561001,4.09016919081162,6.133766738577562
3.1663185741295248,4.176692303570854,6.929653747683253,4.116432158686106,6.118383500665175
2.9517803860248084,3.7968365956190286,6.921490517235856,3.8732821771117156,6.137100507955185
2.5249283241374862,3.8205653949393112,6.928968675381334,4.466367783107633,6.157148462748913
2.392425796993835,3.7247291070076334,6.927459862256472,4.2414706271123945,6.162767285752806
3.2003044392827653,3.7400477406883357,6.910800637168097,3.664842876285695,6.108269326650066
2.766319109226186,3.971234865059992,6.923736889994436,4.360930671379148,6.143799293411261
3.5496173867804286,4.189048497691398,6.9136180592505125,3.9193957597575593,6.059777187290069
3.2722270003651954,4.238589195929894,6.919802419892804,4.276527220481212,6.093027862517423
2.115049969147204,3.7386215460087504,6.932506426444675,4.501918556177617,6.164808424869586
2.6775909936175015,3.730740908208854,6.927685349137523,4.336506119372072,6.148916913222572
2.0001277349601105,3.59922823216129,6.933939461555555,4.359653205696989,6.191728341615349
3.319263998899469,4.150094577326593,6.920483924958861,4.296741040391521,6.086024445521603
2.179286876649552,3.746912485364546,6.926783096386719,4.531738907902208,6.187565727310308
3.1276373444339294,4.088661779086602,6.920385184882159,4.180063437624638,6.116245264005288
3.338257581888281,4.226103551734458,6.924287859616498,3.912622825500114,6.06580642047611
2.668616131856803,3.743130868945852,6.902913576836021,4.572543683160998,6.1523496426256195
3.080532875246456,4.0578534536396855,6.921066293041809,4.438288813682014,6.095486667514328
2.2289385528257473,3.6130777406976544,6.928909933054534,4.413161863604593,6.182621952564336
3.4651107074058083,4.226103551734458,6.92380577780083,3.8372994592322094,6.0744030578935435
3.495294705041271,4.280685807012206,6.917101466981717,3.881769962257125,6.073136695752007
